sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover,ecoregion,mineral_nitrogen
s12428,158702,AC9CM,2013-07-16,148.336683,-42.105769,,17,16.15,0.286,45,0.042,15.36,5.12,0.71,1.16,10,4.08,6.8,12,282,75.72,8.13,26.4,1.5,Woodland,35.00000000000001,Tasmanian South East,27
s12430,402885,A64JJ,2013-07-16,148.2641,-42.1685,,6,15.59,0.199,51,0.026,31.61,5.41,0.38,1.14,20,5.3,6.6,12,184,76.56,7.86,14,1.5,Woodland,35.00000000000001,Tasmanian South East,26
s12438,376184,A64JJ,2013-07-17,148.3021,-42.0578,,7,10.48,0.114,17,0.034,10.78,3.42,0.34,0.79,2,4.33,5.3,6,158,85.28,4.24,11.8,1.5,Woodland,32.00000000000001,Tasmanian South East,9
s12614,601866,AAVYC,2014-01-23,150.265414,-33.659823,,4,9.44,0.158,1014,0.038,11.06,1.62,0.79,0.15,50,3.11,6.1,165,310,82.12,8.44,16.7,1.5,Other,69,Sydney Basin,54
s12832,190479,AAUF6,2013-09-19,152.878317,-27.387599,,10,16.7,0.025,95,0.286,2.05,1.02,0.11,0.09,1,1.73,4.8,5,42,78.29,5.01,3.7,2,Other,43.99999999999999,South Eastern Queensland,11
s12834,207988,AAUF6,2013-09-19,152.87905,-27.387121,,9,20.1,0.03,61,0.16,1.79,0.92,0.1,0.05,5,1.46,4.9,5,39,75.4,4.6,3.2,2,Woodland,43.99999999999999,South Eastern Queensland,14
s12884,294262,A64JJ,2013-09-05,145.029247,-36.673214,,3,NA,0.077,152,0.595,2.56,4.97,0.72,0.7,1,3.13,4.5,6,295,NA,NA,7.2,2.5,Woodland,39.000000000000014,Victorian Midlands,4
s12903,351241,AAVYC,2013-12-06,146.6542886,-43.09507123,,10,32.26,0.092,100,4.175,1.19,0.97,0.27,0.13,1,4.62,3.4,8,123,34.03,44.19,10.2,1,Forest,74,Tasmanian Southern Ranges,11
s138530,38536,K3W8G,2022-03-16,147.063393,-40.991764,wildfire Nov 2019,14,26.9,0.35,NA,0.03,11.08,10.87,0.94,3.34,11,4.52,5.3,16,426,41.96,31.15,22.8,1.5,Woodland,39.000000000000014,Furneaux,25
s15825,682238,ANVM7,2014-08-21,152.424726,-28.288659,,78,NA,0.168,1120,2.939,6.84,1.79,0.9,0.08,71,5.66,4.2,41,350,NA,NA,16.1,1.5,Forest,37.000000000000014,South Eastern Queensland,149
s15827,538698,ANVM7,2014-08-21,152.426866,-28.227608,,72,NA,0.107,1140,0.464,12.83,3.22,0.92,0.13,24,5.51,4.8,30,366,NA,NA,19.4,1.5,Forest,77,South Eastern Queensland,96
s15829,409463,ANVM7,2014-08-21,152.427209,-28.227565,,57,NA,0.089,1140,0.068,27.73,8.24,1.31,0.21,7,5.22,5.4,136,535,NA,NA,5.5,1.5,Forest,77,South Eastern Queensland,64
s15947,92011,AGEDA,2014-10-15,147.40767,-42.40422,,4,6.07,0.04,NA,1.363,0.47,0.35,0.24,0.11,0.5,2.51,3.6,7,104,89.82,4.11,3.6,1.5,,44.99999999999999,Tasmanian South East,4.5
s15949,127773,AGEDA,2014-10-15,147.39757,-42.32849,,5,8.16,0.029,NA,1.767,0.89,0.96,0.32,0.11,0.5,3.06,3.3,12,148,87.71,4.13,2.1,1.5,,44.99999999999999,Tasmanian South East,5.5
s15965,148229,AGEDA,2014-10-17,147.45611,-42.54522,,9,7.91,0.031,NA,1.17,0.89,0.71,0.22,0.08,0.5,2.25,3.5,8,104,90.08,2,2.8,1.5,,53,Tasmanian South East,9.5
s15981,134032,AGEDA,2014-11-07,147.20049,-42.55598,,9,25.03,0.054,NA,0.021,24.09,6.61,0.64,0.41,14,4.9,5.1,17,304,51.94,23.04,5.7,2,,38.000000000000014,Tasmanian South East,23
s15987,129684,AGEDA,2014-11-13,147.01964,-42.40184,,3,12.12,0.023,NA,1.973,0.72,0.58,0.28,0.1,0.5,2.67,4,12,110,87.88,1e-10,2,1.5,,36.00000000000001,Tasmanian South East,3.5
s15997,169728,AGEFG,2014-11-13,146.77292,-42.57264,,2,2.99,0.02,NA,1.051,0.68,0.4,0.15,0.05,0.5,1.2,3.7,9,75,92.95,4.06,1.6,1.5,,32.00000000000001,Tasmanian South East,2.5
s16001,134378,AGEFG,2014-11-21,147.31891,-41.77754,,6,9.36,0.036,NA,0.729,2.74,0.8,0.15,0.09,0.5,2.74,4.3,3,59,82.27,8.37,3.8,1.5,,49,Tasmanian Northern Midlands,6.5
s19475,189784,AGEFG,2015-02-18,150.7354,-33.6213,,9,9.93,0.025,33,0.043,2.89,0.52,0.18,0.03,15,1.28,4.9,5,70,78.02,12.04,3.9,2,Woodland,44.99999999999999,Sydney Basin,24
s19477,116558,AGEFG,2015-02-18,150.73577,-33.62083,,5,7.83,0.032,35,0.049,1.77,0.51,0.24,0.04,7,1.02,4.9,4,92,80.28,11.89,2.9,2,Woodland,44.99999999999999,Sydney Basin,12
s19481,191971,AGEFG,2015-02-19,150.72482,-33.61583,,11,13.84,0.052,32,1.048,1.12,1.32,0.29,0.44,5,3.18,4.1,7,129,58.27,27.89,7,2,Woodland,57.00000000000001,Sydney Basin,16
s19483,277637,AGEFG,2015-02-19,150.72493,-33.61353,,17,22.15,0.023,37,0.84,1.32,0.82,0.27,0.12,8,3.76,4.1,7,104,35.36,42.49,6.6,2,Woodland,54,Sydney Basin,25
s19501,136079,AGEFG,2015-02-23,150.72577,-33.61158,,7,4.05,0.025,36,0.486,0.66,0.21,0.12,0.02,4,1.35,4.4,4,51,85.58,10.37,3.8,1.5,Woodland,54,Sydney Basin,11
s19505,213077,AGEFG,2015-02-23,150.72878,-33.6145,,11,3.93,0.045,38,0.283,1.12,0.43,0.21,0.03,8,1.2,4.4,5,87,85.99,10.08,3.9,1.5,Woodland,54,Sydney Basin,19
s19507,257576,AGEFG,2015-02-25,150.71983,-33.61007,,11,16.47,0.071,29,0.053,19.27,3.32,0.48,0.18,17,4.66,5.1,12,225,50.39,33.14,6.8,2,Woodland,56.00000000000001,Sydney Basin,28
s19509,166776,AGEFG,2015-02-25,150.72043,-33.61072,,18,24.09,0.061,32,1.135,1.51,0.95,0.61,0.1,9,3.7,4,12,244,43.65,32.26,10,2,Woodland,56.00000000000001,Sydney Basin,27
s19511,245328,AGEFG,2015-02-25,150.72095,-33.61255,,6,8.12,0.03,38,0.339,0.61,0.33,0.14,0.05,1,1.22,4.4,3,62,87.77,4.11,4.8,1.5,Woodland,56.00000000000001,Sydney Basin,7
s19594,82993,B39FT,2015-11-18,150.2281468,-33.08392283,,2,27.91,0.07,NA,0.124,8,7.24,0.92,0.2,3,2.53,4.9,4,406,57.6,14.5,10.8,3,,38.000000000000014,NSW South Western Slopes,5
s39198,50688,BC8BY,2017-01-11,145.5151456,-37.49956015,,48,15.13944223,0.153,NA,10.043,1.85,0.64,0.54,0.09,36,5.48,3.5,28,241,23.77158035,61.08897742,25.4,2.5,Forest,96,South Eastern Highlands,84
s39202,46176,BC8BY,2017-01-12,145.5190746,-37.49995197,,39,21.66874222,0.153,NA,8.532,1.4,0.44,0.38,0.08,25,4.57,3.6,20,176,35.99003736,42.34122042,20.6,2.5,Forest,95,South Eastern Highlands,64
s39204,64393,BC8BY,2017-01-14,145.5092119,-37.53227413,,23,23.55008787,0.14,NA,7.934,5.74,2.18,0.56,0.11,25,5.93,3.8,18,219,10.19332162,66.25659051,12.6,1.5,Forest,88.00000000000001,South Eastern Highlands,48
s39206,50931,BC8BY,2017-01-16,145.5043148,-37.54004433,,68,29.74358974,0.114,NA,5.229,6.85,1.77,0.64,0.13,11,5.73,4.1,21,258,20.34188034,49.91452991,14.3,2.5,Forest,93,South Eastern Highlands,79
