sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s10714,197821,A64HK,2013-03-29,140.6958,-34.0597,,2,8.82,0.103,21,0.041,7.71,1.1,0.48,0.07,2,0.48,7.8,10,187,89.21,1.97,2.8,1,Shrubland,1.0000000000000009
s10716,218011,A64HK,2013-03-29,140.7354,-34.05624,,3,42.24,0.549,16,0.049,20.24,6.72,1.38,3.8,2,2.49,6.9,89,539,39.62,18.15,48.2,2,Woodland,2.0000000000000018
s10718,34422,A64HK,2013-03-29,140.7064,-34.03715,,5,65.29,0.534,19,0.102,8.86,9.51,0.76,6.17,3,1.09,5.4,21,296,13.56,21.15,56.8,1.5,Shrubland,4.0000000000000036
s10720,33980,A64HK,2013-03-29,140.719,-33.9556,,1e-10,11.86,0.161,62,0.06,8.01,1.46,0.65,0.77,1e-10,0.28,8.1,3,254,84.18,3.97,5.7,1,Woodland,19.999999999999996
s12424,109621,A64JJ,2013-07-16,148.3395,-42.1074,,2,7.97,0.071,22,0.447,1.29,1.18,0.17,0.37,1e-10,1.74,4.5,3,107,84,8.02,6.6,1.5,Woodland,49
s12426,87721,A64JJ,2013-07-16,148.340808,-42.106246,,9,16.29,0.361,60,0.114,8.06,6.03,0.62,2.61,4,4.25,4.9,9,251,73.46,10.25,35,1.5,Woodland,4.0000000000000036
s12428,158702,AC9CM,2013-07-16,148.336683,-42.105769,,17,16.15,0.286,45,0.042,15.36,5.12,0.71,1.16,10,4.08,6.8,12,282,75.72,8.13,26.4,1.5,Woodland,35.00000000000001
s12430,402885,A64JJ,2013-07-16,148.2641,-42.1685,,6,15.59,0.199,51,0.026,31.61,5.41,0.38,1.14,20,5.3,6.6,12,184,76.56,7.86,14,1.5,Woodland,35.00000000000001
s12434,119422,A64JJ,2013-07-16,148.2851,-42.173,,10,18.63,0.196,7,3.494,2.08,3.85,0.38,1.55,1e-10,5.84,4.1,9,175,65.28,16.09,19.5,1,Marsh/bog,10.000000000000009
s12438,376184,A64JJ,2013-07-17,148.3021,-42.0578,,7,10.48,0.114,17,0.034,10.78,3.42,0.34,0.79,2,4.33,5.3,6,158,85.28,4.24,11.8,1.5,Woodland,32.00000000000001
s12444,53091,A64JJ,2013-07-18,146.6099,-42.6831,,22,39.17,0.212,1068,8.568,3.25,1.84,0.94,0.51,2,5.55,3.9,20,365,43.33,17.51,26.9,1,Other,39.000000000000014
s12446,422340,A64JJ,2013-07-18,146.625,-42.6735,,39,52.02,0.219,1035,0.628,22.88,7.91,1.49,0.96,1e-10,5.38,3.2,53,730,33.73,14.25,29.6,1,Forest,47
s12447,184685,A64JJ,2013-07-18,146.6711,-42.6793,,10,13.45,0.051,692,4.127,0.64,0.6,0.23,0.1,1e-10,4.43,3.7,15,130,79.28,7.27,9,1,Forest,67
s12450,286848,AC9CM,2014-05-01,149.597435,-30.20116196,,2,48.72,0.123,201.420792,0.135,23.32,10.08,1.84,0.56,18,1.32,6.8,92,687,23.97,27.31,35,3,Other,3.0000000000000027
s12459,114337,A64JJ,2013-08-14,148.7989167,-35.42356667,,11,11.96,0.042,1281,3.088,1.84,0.68,0.63,0.04,1e-10,4.58,4.2,12,247,67.02,21.02,3.2,1,Woodland,67
s12461,501689,A64JJ,2013-08-14,148.7975833,-35.42373333,,14,20.02,0.077,1266,2.097,8.23,1.72,0.82,0.07,1e-10,4.46,4,54,357,57.85,22.13,5.7,1,Forest,67
s12463,106670,A64JJ,2013-08-14,148.7978833,-35.42388333,,12,15.84,0.063,1263,0.796,10.45,1.8,0.67,0.05,1e-10,4.46,4.3,47,261,66.23,17.93,6.1,1,Forest,67
s12465,280161,A64JJ,2013-08-14,148.79855,-35.4214,,22,12.69,0.064,1262,0.2,18.56,2.4,0.74,0.05,1e-10,4.82,4.7,68,320,67.21,20.09,5,1,Forest,59.00000000000001
s12467,85203,A64JJ,2013-08-14,148.79595,-35.42375,,6,18.15,0.07,1294,0.769,8.04,0.86,0.63,0.06,1e-10,4.3,4.4,49,268,65.62,16.23,6.6,1,Forest,60.00000000000001
s12469,682178,A64JJ,2013-08-14,148.7968,-35.4235,,7,16.9,0.081,1278,0.115,12.39,1.63,0.92,0.05,1e-10,3.75,5.2,51,361,61.85,21.25,5.4,1,Forest,67
